# returns.csv
return_id,order_id,sku,return_date,quantity,disposition,condition_notes
RET-2025-01-22-001,2025-01-15-1001,SKU-WIDGET-A,2025-01-22 14:30:00,1,SELLABLE,Customer changed mind, unopened
RET-2025-01-23-002,2025-01-17-1005,SKU-CONTRA-D,2025-01-23 10:15:00,1,DAMAGED,Item arrived broken, power cord frayed
RET-2025-01-24-003,2025-01-18-1008,SKU-THING-E,2025-01-24 09:00:00,1,UNSELLABLE,Missing parts
RET-2025-01-25-004,2025-01-16-1003,SKU-DOODAD-C,2025-01-25 16:45:00,1,SELLABLE,Defective? Customer just didn't like it.
RET-2025-01-26-005,2025-01-20-1011,SKU-WIDGET-A,2025-01-26 11:20:00,2,SELLABLE,Ordered extra by mistake, sealed
RET-2025-01-27-006,2025-01-21-1013,SKU-CONTRA-D,2025-01-27 13:30:00,1,DAMAGED,Scratched during shipping
RET-2025-01-28-007,2025-01-19-1010,SKU-FRAME-F,2025-01-28 12:00:00,1,SELLABLE,Does not fit
RET-2025-01-29-008,2025-01-22-1016,SKU-FRAME-F,2025-01-29 15:10:00,1,DAMAGED,Corner bent
RET-2025-01-30-009,2025-01-23-1017,SKU-DOODAD-C,2025-01-30 10:00:00,1,SELLABLE,Changed order
RET-2025-01-31-010,2025-01-24-1019,SKU-WIDGET-A,2025-01-31 09:30:00,1,UNSELLABLE,Signs of use, cannot resell
RET-2025-02-01-011,2025-01-15-1001,SKU-WIDGET-A,2025-02-01 17:00:00,1,DAMAGED,Defective unit
